Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_11:55:49,54.0,45.0,45.0,44.0,44.0,43.0,43.0,56.0,43.0,3420.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3733.2,3400.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,7.7,18.9,12.7,0,0.7
2026-04-09_11:55:50,54.0,45.0,45.0,44.0,44.0,43.0,43.0,56.0,43.0,3396.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3335.5,3400.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,0.0,0.0,14.3,8.3,0.0,18.2,0.0,11.3,5.3,0,0.7
2026-04-09_11:55:50,54.0,45.0,45.0,44.0,44.0,43.0,43.0,56.0,43.0,3266.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,997.3,3400.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,21.7,4.2,7.3,1.3,0,0.6
2026-04-09_11:55:50,54.0,45.0,45.0,44.0,44.0,43.0,43.0,56.0,43.0,3267.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1285.6,3400.0,2.0,0.0,0.0,4.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,26.1,0.0,7.4,1.4,0,0.7
2026-04-09_11:55:50,54.0,45.0,45.0,44.0,44.0,43.0,43.0,56.0,43.0,3278.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1450.7,3400.0,4.5,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,9.1,0.0,27.3,4.5,8.3,2.2,0,0.7
2026-04-09_11:55:51,45.0,45.0,44.0,44.0,43.0,43.0,42.0,44.0,43.0,3267.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1283.0,3400.0,4.2,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,8.7,0.0,22.7,4.5,8.2,2.2,0,0.7
2026-04-09_11:55:51,45.0,45.0,44.0,44.0,43.0,43.0,42.0,44.0,43.0,3264.5,3400.0,3400.0,1734.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1231.4,3400.0,3.1,0.0,0.0,8.7,0.0,4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,22.7,4.5,7.8,1.8,0,0.7
2026-04-09_11:55:51,45.0,45.0,44.0,44.0,43.0,43.0,42.0,44.0,43.0,3269.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1314.5,3400.0,2.2,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,22.7,0.0,7.4,1.5,0,0.6
2026-04-09_11:55:51,45.0,45.0,44.0,44.0,43.0,43.0,42.0,44.0,43.0,3266.8,3400.0,3162.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1269.2,3400.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,22.7,0.0,6.2,1.1,0,0.6
2026-04-09_11:55:51,45.0,45.0,44.0,44.0,43.0,43.0,42.0,44.0,43.0,3268.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1298.1,3400.0,2.5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.2,0.0,0.0,0.0,4.3,4.3,4.5,22.7,0.0,7.1,1.1,0,0.6
2026-04-09_11:55:52,45.0,45.0,44.0,43.0,43.0,43.0,42.0,44.0,42.0,3267.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1275.3,3400.0,2.2,0.0,4.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,4.3,6.2,1.1,0,0.6
2026-04-09_11:55:52,45.0,45.0,44.0,43.0,43.0,43.0,42.0,44.0,42.0,3269.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1309.5,3400.0,2.2,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,24.0,0.0,7.1,1.1,0,0.6
2026-04-09_11:55:52,45.0,45.0,44.0,43.0,43.0,43.0,42.0,44.0,42.0,3266.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1271.1,3400.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.3,6.3,1.1,0,0.6
2026-04-09_11:55:52,45.0,45.0,44.0,43.0,43.0,43.0,42.0,44.0,42.0,3268.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1299.2,3400.0,1.7,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,8.3,22.7,0.0,7.0,1.0,0,0.6
2026-04-09_11:55:53,45.0,45.0,44.0,43.0,43.0,43.0,42.0,44.0,42.0,3266.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1268.0,3400.0,2.0,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,6.1,1.0,0,0.6
