Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_11:50:18,54.0,46.0,46.0,44.0,45.0,44.0,43.0,48.0,54.0,3342.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2474.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3,10.4,0,0.6
2026-04-09_11:50:18,54.0,46.0,46.0,44.0,45.0,44.0,43.0,48.0,54.0,3450.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1544.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,0.0,4.2,0.0,4.2,8.7,0.0,0.0,13.6,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,12.1,7.9,0,0.7
2026-04-09_11:50:18,54.0,46.0,46.0,44.0,45.0,44.0,43.0,48.0,54.0,3270.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1331.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.5,0.0,4.5,0.0,0.0,0.0,4.3,0.0,22.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.3,2.1,0,0.8
2026-04-09_11:50:18,54.0,46.0,46.0,44.0,45.0,44.0,43.0,48.0,54.0,3276.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1427.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,4.3,0.0,0.0,0.0,4.3,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,6.4,1.2,0,0.6
2026-04-09_11:50:18,54.0,46.0,46.0,44.0,45.0,44.0,43.0,48.0,54.0,3249.4,991.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1370.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.9,0.0,4.2,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,7.7,1.7,0,0.7
2026-04-09_11:50:19,45.0,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3339.8,2437.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,13.6,9.1,4.5,4.5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0,0.7
2026-04-09_11:50:19,45.0,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3250.0,3400.0,999.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.3,17.4,13.0,4.0,4.3,0.0,8.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,7.8,1.8,0,0.7
2026-04-09_11:50:19,45.0,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3394.6,3400.0,996.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.7,0.0,16.7,4.2,8.3,13.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,9.0,3.0,0,0.7
2026-04-09_11:50:19,45.0,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3265.4,3400.0,1246.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1224.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.8,4.3,18.2,0.0,4.8,4.5,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.6,1.6,0,0.7
2026-04-09_11:50:20,45.0,45.0,44.0,43.0,44.0,43.0,43.0,44.0,43.0,3269.0,3400.0,1303.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.3,0.0,26.1,0.0,4.3,0.0,0.0,0.0,4.3,4.5,0.0,4.3,0.0,0.0,4.3,0.0,0.0,5.6,1.3,0,0.6
2026-04-09_11:50:20,45.0,45.0,44.0,44.0,44.0,43.0,42.0,44.0,42.0,3260.7,3400.0,1172.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,7.0,1.0,0,0.6
2026-04-09_11:50:20,45.0,45.0,44.0,44.0,44.0,43.0,42.0,44.0,42.0,3267.1,3400.0,1274.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.2,0,0.6
2026-04-09_11:50:20,45.0,45.0,44.0,44.0,44.0,43.0,42.0,44.0,42.0,3266.7,3400.0,1268.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.2,0.0,22.7,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.5,0.0,7.0,1.1,0,0.6
2026-04-09_11:50:20,45.0,45.0,44.0,44.0,44.0,43.0,42.0,44.0,42.0,3265.9,3400.0,1254.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,0.0,22.7,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,7.0,1.0,0,0.6
2026-04-09_11:50:21,45.0,45.0,44.0,44.0,44.0,43.0,42.0,44.0,42.0,3266.8,3400.0,1268.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1.0,0,0.6
2026-04-09_11:50:21,61.0,61.0,59.0,60.0,60.0,59.0,58.0,59.0,57.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,57.5,56.5,72.7,57.1,56.5,59.1,54.5,54.5,56.5,59.1,54.2,56.5,58.3,54.5,59.1,56.5,56.5,43.5,37.9,0,0.7
2026-04-09_11:50:21,61.0,61.0,59.0,60.0,60.0,59.0,58.0,59.0,57.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.1,89.8,0,0.6
2026-04-09_11:50:21,61.0,61.0,59.0,60.0,60.0,59.0,58.0,59.0,57.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.8,89.9,0,0.6
2026-04-09_11:50:22,61.0,61.0,59.0,60.0,60.0,59.0,58.0,59.0,57.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.3,90.1,0,0.6
2026-04-09_11:50:22,61.0,61.0,59.0,60.0,60.0,59.0,58.0,59.0,57.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.7,90.6,0,0.6
2026-04-09_11:50:22,66.0,66.0,66.0,66.0,66.0,65.0,64.0,63.0,62.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.1,91.1,0,0.6
2026-04-09_11:50:22,66.0,66.0,66.0,66.0,66.0,65.0,64.0,63.0,62.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.2,91.2,0,0.6
2026-04-09_11:50:22,66.0,66.0,66.0,66.0,66.0,65.0,64.0,63.0,62.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.2,88.1,0,0.6
2026-04-09_11:50:23,66.0,66.0,66.0,66.0,66.0,65.0,64.0,63.0,62.0,4075.0,3400.0,4600.0,3400.0,4600.0,4600.0,4600.0,4600.0,4600.0,4600.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,78.5,15.0,23.8,75.0,100.0,100.0,100.0,100.0,100.0,100.0,35.0,95.0,100.0,60.0,100.0,60.0,94.7,80.5,74.3,0,0.6
2026-04-09_11:50:23,66.0,66.0,66.0,66.0,66.0,65.0,64.0,63.0,62.0,4000.0,3400.0,4600.0,4600.0,3400.0,4600.0,3400.0,4600.0,4600.0,4600.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,46.8,0.0,78.9,81.0,15.0,85.7,25.0,100.0,100.0,55.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,69.2,63.4,0,0.6
