Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_12:05:58,52.0,43.0,43.0,42.0,41.0,52.0,40.0,44.0,41.0,3444.5,3400.0,3400.0,3400.0,3400.0,4112.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.5,0.0,0.0,0.0,0.0,78.6,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,17.1,0,1.2
2026-04-09_12:05:58,52.0,43.0,43.0,42.0,41.0,52.0,40.0,44.0,41.0,3250.8,3400.0,3400.0,3400.0,3400.0,1013.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.4,0.0,8.0,0.0,4.2,16.0,4.2,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.8,0.0,13.1,7.9,0,0.7
2026-04-09_12:05:58,52.0,43.0,43.0,42.0,41.0,52.0,40.0,44.0,41.0,3266.1,3400.0,3400.0,3400.0,3400.0,1257.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.2,0.0,0.0,8.3,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.1,0,0.6
2026-04-09_12:05:59,52.0,43.0,43.0,42.0,41.0,52.0,40.0,44.0,41.0,3267.4,3400.0,3400.0,3400.0,3400.0,1278.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,0.0,0.0,4.5,0.0,21.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1.1,0,0.6
2026-04-09_12:05:59,52.0,43.0,43.0,42.0,41.0,52.0,40.0,44.0,41.0,3277.3,3400.0,3400.0,3400.0,3400.0,1436.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2223.1,3400.0,3400.0,3400.0,3400.0,2.8,4.3,4.3,4.3,0.0,27.3,0.0,4.2,4.5,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,7.7,1.7,0,0.7
2026-04-09_12:05:59,42.0,42.0,41.0,40.0,40.0,40.0,39.0,42.0,40.0,3268.9,3400.0,3400.0,3400.0,3400.0,1302.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.8,4.3,0.0,0.0,8.3,22.7,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1.6,0,0.7
2026-04-09_12:05:59,42.0,42.0,41.0,40.0,40.0,40.0,39.0,42.0,40.0,3266.7,3400.0,3400.0,3400.0,3400.0,1266.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.3,0.0,0.0,0.0,0.0,19.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.2,0,0.7
2026-04-09_12:05:59,42.0,42.0,41.0,40.0,40.0,40.0,39.0,42.0,40.0,3267.7,3400.0,3400.0,3400.0,3400.0,1090.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.8,9.1,0.0,4.3,0.0,21.7,0.0,4.5,16.7,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,8.2,2.2,0,0.7
2026-04-09_12:06:00,42.0,42.0,41.0,40.0,40.0,40.0,39.0,42.0,40.0,3365.4,3400.0,3400.0,3400.0,3400.0,2846.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.5,9.1,0.0,0.0,9.1,9.5,0.0,5.0,15.8,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,8.7,2.7,0,0.7
2026-04-09_12:06:00,42.0,42.0,41.0,40.0,40.0,40.0,39.0,42.0,40.0,3359.3,3400.0,3400.0,3400.0,3400.0,2749.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,4.8,13.6,0.0,9.1,13.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,8.3,2.3,0,0.7
2026-04-09_12:06:00,42.0,42.0,41.0,40.0,40.0,41.0,40.0,41.0,41.0,3266.7,3400.0,3400.0,3400.0,3400.0,1266.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,4.3,0.0,0.0,0.0,18.2,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.3,0,0.6
2026-04-09_12:06:00,42.0,42.0,41.0,40.0,40.0,41.0,40.0,41.0,41.0,3266.2,3400.0,3400.0,3400.0,3400.0,1258.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,6.1,1.0,0,0.6
2026-04-09_12:06:01,42.0,42.0,41.0,40.0,40.0,41.0,40.0,41.0,41.0,3133.0,3400.0,3400.0,3400.0,3400.0,1255.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,7.0,1.0,0,0.6
2026-04-09_12:06:01,42.0,42.0,41.0,40.0,40.0,41.0,40.0,41.0,41.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.7,0.0,8.7,45.8,0.0,21.7,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,7.6,0,0.7
2026-04-09_12:06:01,42.0,42.0,41.0,40.0,40.0,41.0,40.0,41.0,41.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.7,0.0,0.0,100.0,4.8,5.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,23.6,0,0.7
2026-04-09_12:06:01,53.0,45.0,44.0,53.0,42.0,43.0,42.0,44.0,40.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.9,0.0,0.0,100.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,23.3,0,0.7
2026-04-09_12:06:01,53.0,45.0,44.0,53.0,42.0,43.0,42.0,44.0,40.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.7,0.0,0.0,100.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,29.2,23.2,0,0.7
2026-04-09_12:06:02,53.0,45.0,44.0,53.0,42.0,43.0,42.0,44.0,40.0,3550.0,3400.0,3400.0,4600.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,7.0,0.0,0.0,100.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,22.9,0,0.7
