Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_12:01:24,58.0,50.0,58.0,55.0,48.0,48.0,46.0,48.0,45.0,3516.4,3400.0,3400.0,4584.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,11.8,0.0,90.9,90.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,30.8,0,0.9
2026-04-09_12:01:24,58.0,50.0,58.0,55.0,48.0,48.0,46.0,48.0,45.0,3625.0,3400.0,4600.0,4600.6,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,9.2,0.0,77.3,9.1,0.0,0.0,30.4,4.3,13.6,12.5,0.0,0.0,4.3,0.0,0.0,0.0,0.0,38.1,31.8,0,0.9
2026-04-09_12:01:24,58.0,50.0,58.0,55.0,48.0,48.0,46.0,48.0,45.0,3624.5,3400.0,4596.1,4599.9,3400.0,3400.0,4596.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,13.6,0.0,100.0,10.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.7,39.3,0,1.4
2026-04-09_12:01:24,58.0,50.0,58.0,55.0,48.0,48.0,46.0,48.0,45.0,3425.0,3400.0,3400.0,3643.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3671.4,13.1,4.3,78.3,12.0,4.2,4.0,77.3,8.3,0.0,0.0,0.0,4.3,12.5,0.0,0.0,4.2,12.0,35.6,29.2,0,1.3
2026-04-09_12:01:24,58.0,50.0,58.0,55.0,48.0,48.0,46.0,48.0,45.0,3499.1,4133.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,11.2,23.8,23.8,0.0,4.5,14.3,15.8,15.0,9.5,15.8,0.0,5.0,5.0,4.8,9.1,4.8,23.8,41.5,35.1,0,1.0
2026-04-09_12:01:25,47.0,47.0,46.0,45.0,46.0,45.0,44.0,46.0,45.0,3255.0,1079.4,3400.0,3400.0,3400.0,3400.0,3400.0,3548.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.3,9.1,0.0,0.0,0.0,4.5,0.0,4.3,0.0,4.2,4.3,0.0,0.0,4.3,0.0,9.5,0.0,12.4,6.3,0,0.7
2026-04-09_12:01:25,47.0,47.0,46.0,45.0,46.0,45.0,44.0,46.0,45.0,3270.9,1098.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.9,20.8,0.0,0.0,0.0,8.3,0.0,4.5,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.3,4.2,7.6,1.6,0,0.7
2026-04-09_12:01:25,47.0,47.0,46.0,45.0,46.0,45.0,44.0,46.0,45.0,3411.7,3400.0,4606.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4607.7,3400.0,3400.0,3400.0,3400.0,3400.0,3.6,0.0,9.1,0.0,0.0,4.3,0.0,0.0,4.3,0.0,0.0,34.8,0.0,0.0,0.0,4.3,0.0,14.2,8.2,0,0.7
2026-04-09_12:01:25,47.0,47.0,46.0,45.0,46.0,45.0,44.0,46.0,45.0,3550.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4600.0,3400.0,3400.0,3400.0,3400.0,3400.0,6.9,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,31.2,25.2,0,0.8
2026-04-09_12:01:26,47.0,47.0,46.0,45.0,46.0,45.0,44.0,46.0,45.0,3550.0,4600.0,4600.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,7.0,61.9,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,32.9,26.7,0,0.8
