Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_10:22:36,46.0,39.0,38.0,39.0,37.0,38.0,36.0,48.0,37.0,3475.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4529.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.6,18.6,0,0.7
2026-04-09_10:22:37,46.0,39.0,38.0,39.0,37.0,38.0,36.0,48.0,37.0,3451.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4227.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.3,0.0,8.7,0.0,4.3,4.3,9.5,13.6,0.0,4.5,0.0,4.5,0.0,4.8,0.0,0.0,0.0,14.4,8.3,0,0.7
2026-04-09_10:22:37,46.0,39.0,38.0,39.0,37.0,38.0,36.0,48.0,37.0,3309.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1952.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,4.3,0.0,0.0,0.0,0.0,0.0,18.2,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1.7,0,0.6
2026-04-09_10:22:37,46.0,39.0,38.0,39.0,37.0,38.0,36.0,48.0,37.0,3281.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1507.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,4.3,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,1.8,0,0.7
2026-04-09_10:22:37,46.0,39.0,38.0,39.0,37.0,38.0,36.0,48.0,37.0,3266.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1263.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,4.2,0.0,4.3,0.0,0.0,4.3,18.2,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.2,0,0.6
2026-04-09_10:22:37,39.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0,3161.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1247.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.2,0,0.6
2026-04-09_10:22:38,39.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0,3267.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1282.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,4.3,0.0,0.0,0.0,0.0,0.0,19.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0,0.6
2026-04-09_10:22:38,39.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0,3269.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1313.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.1,4.5,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,4.3,0.0,0.0,0.0,13.0,0.0,0.0,7.6,2.4,0,0.7
2026-04-09_10:22:38,39.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0,3267.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1271.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,4.3,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,1.1,0,0.6
2026-04-09_10:22:38,39.0,38.0,38.0,37.0,37.0,37.0,36.0,39.0,37.0,3269.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1304.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,4.5,0.0,4.3,0.0,0.0,4.3,22.7,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.1,0,0.6
