Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_12:08:32,45.0,41.0,40.0,40.0,40.0,40.0,39.0,44.0,39.0,3406.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3508.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,16.6,0,0.7
2026-04-09_12:08:32,45.0,41.0,40.0,40.0,40.0,40.0,39.0,44.0,39.0,3439.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4034.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,4.5,0.0,16.7,0.0,0.0,4.5,0.0,0.0,0.0,14.1,8.1,0,0.7
2026-04-09_12:08:32,45.0,41.0,40.0,40.0,40.0,40.0,39.0,44.0,39.0,3298.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1772.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,1.5,0,0.6
2026-04-09_12:08:32,45.0,41.0,40.0,40.0,40.0,40.0,39.0,44.0,39.0,3267.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1276.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.2,8.7,0.0,0.0,0.0,0.0,0.0,22.7,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.3,1.3,0,0.6
2026-04-09_12:08:33,45.0,41.0,40.0,40.0,40.0,40.0,39.0,44.0,39.0,3277.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1447.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.8,4.3,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,6.5,1.4,0,0.7
2026-04-09_12:08:33,42.0,41.0,40.0,40.0,39.0,39.0,39.0,41.0,39.0,3348.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2576.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,8.3,0.0,4.3,0.0,0.0,0.0,21.7,8.7,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,6.6,1.5,0,0.7
2026-04-09_12:08:33,42.0,41.0,40.0,40.0,39.0,39.0,39.0,41.0,39.0,3359.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2238.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.7,0.0,0.0,8.7,0.0,4.5,8.7,13.0,13.6,0.0,0.0,0.0,0.0,0.0,9.1,0.0,4.5,9.9,3.8,0,0.9
2026-04-09_12:08:33,42.0,41.0,40.0,40.0,39.0,39.0,39.0,41.0,39.0,3265.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1248.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.8,4.5,0.0,4.5,0.0,8.7,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,7.7,1.7,0,0.7
2026-04-09_12:08:34,42.0,41.0,40.0,40.0,39.0,39.0,39.0,41.0,39.0,3266.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1261.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.8,4.3,0.0,4.5,0.0,4.5,0.0,22.7,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1.6,0,0.7
2026-04-09_12:08:34,42.0,41.0,40.0,40.0,39.0,39.0,39.0,41.0,39.0,3269.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1310.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,6.2,1.2,0,0.6
