Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_11:45:40,39.0,37.0,37.0,37.0,36.0,36.0,35.0,38.0,38.0,3324.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2194.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.1,0,0.7
2026-04-09_11:45:40,39.0,37.0,37.0,37.0,36.0,36.0,35.0,38.0,38.0,3401.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3419.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.4,4.5,17.4,4.3,4.2,4.3,4.5,4.3,21.7,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,11.7,5.8,0,0.7
2026-04-09_11:45:40,39.0,37.0,37.0,37.0,36.0,36.0,35.0,38.0,38.0,3272.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1352.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1.7,0.0,0.0,0.0,0.0,0.0,4.3,0.0,19.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,7.5,1.5,0,0.6
2026-04-09_11:45:40,39.0,37.0,37.0,37.0,36.0,36.0,35.0,38.0,38.0,3122.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1559.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,4.3,4.3,0.0,0.0,4.3,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,7.5,1.6,0,0.7
2026-04-09_11:45:41,39.0,37.0,37.0,37.0,36.0,36.0,35.0,38.0,38.0,3264.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1229.6,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.4,0.0,0.0,4.3,0.0,4.8,4.3,0.0,26.1,0.0,0.0,4.3,0.0,0.0,4.5,0.0,0.0,7.6,1.6,0,0.7
2026-04-09_11:45:41,39.0,37.0,37.0,37.0,36.0,36.0,35.0,37.0,36.0,3270.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1330.4,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.2,0.0,0.0,0.0,0.0,4.3,0.0,0.0,22.7,0.0,0.0,4.3,0.0,0.0,0.0,0.0,4.5,6.3,1.2,0,0.6
2026-04-09_11:45:41,39.0,37.0,37.0,37.0,36.0,36.0,35.0,37.0,36.0,3269.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1305.5,3400.0,3400.0,3400.0,1340.2,3400.0,3400.0,3400.0,3400.0,2.8,4.3,4.3,0.0,0.0,4.5,4.5,0.0,22.7,0.0,0.0,0.0,4.5,0.0,4.3,0.0,0.0,7.6,1.6,0,0.7
2026-04-09_11:45:41,39.0,37.0,37.0,37.0,36.0,36.0,35.0,37.0,36.0,3052.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1282.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,4.8,0.0,0.0,0.0,0.0,18.2,0.0,0.0,30.4,0.0,0.0,4.5,9.1,0.0,9.5,0.0,0.0,8.3,2.3,0,0.7
2026-04-09_11:45:41,39.0,37.0,37.0,37.0,36.0,36.0,35.0,37.0,36.0,3264.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1238.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.6,0.0,0.0,0.0,0.0,9.1,4.3,0.0,21.7,0.0,0.0,8.7,0.0,4.2,8.7,0.0,0.0,7.4,1.4,0,0.7
2026-04-09_11:45:42,39.0,37.0,37.0,37.0,36.0,36.0,35.0,37.0,36.0,3269.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1308.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,0.0,0.0,0.0,0.0,4.3,0.0,0.0,22.7,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,7.1,1.2,0,0.7
