Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_10:39:04,51.0,41.0,41.0,41.0,51.0,39.0,40.0,42.0,39.0,3344.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2516.1,3400.0,3400.0,3400.0,3400.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.1,0.0,0.0,0.0,16.3,10.7,0,0.7
2026-04-09_10:39:04,51.0,41.0,41.0,41.0,51.0,39.0,40.0,42.0,39.0,3432.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3922.8,3400.0,3400.0,3400.0,3400.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,8.8,3.6,0,0.6
2026-04-09_10:39:04,51.0,41.0,41.0,41.0,51.0,39.0,40.0,42.0,39.0,3263.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1220.7,3400.0,3400.0,3400.0,3400.0,2.3,4.5,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,22.7,0.0,0.0,0.0,0.0,7.3,1.3,0,0.6
2026-04-09_10:39:05,51.0,41.0,41.0,41.0,51.0,39.0,40.0,42.0,39.0,3267.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1273.1,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,4.3,0.0,0.0,4.3,0.0,4.3,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,7.1,1.1,0,0.6
2026-04-09_10:39:05,51.0,41.0,41.0,41.0,51.0,39.0,40.0,42.0,39.0,3277.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2345.5,3400.0,1445.3,3400.0,3400.0,3400.0,3400.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,23.8,0.0,0.0,0.0,4.3,6.5,1.4,0,0.7
2026-04-09_10:39:05,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3266.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1269.4,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,4.3,0.0,8.3,4.3,22.7,0.0,4.3,0.0,0.0,6.4,1.3,0,0.6
2026-04-09_10:39:05,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3265.7,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1029.9,3400.0,1251.7,3400.0,3400.0,3400.0,3400.0,3.1,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,21.7,0.0,0.0,0.0,0.0,7.6,1.6,0,0.7
2026-04-09_10:39:05,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3266.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1261.5,3400.0,3400.0,3400.0,3400.0,2.8,0.0,0.0,4.5,0.0,0.0,0.0,0.0,4.5,0.0,8.3,0.0,22.7,0.0,0.0,0.0,0.0,7.4,1.4,0,0.7
2026-04-09_10:39:06,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3118.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2335.8,3400.0,3400.0,2135.5,1221.8,3400.0,3400.0,3400.0,3400.0,2.8,0.0,0.0,4.5,0.0,0.0,4.3,0.0,8.7,0.0,0.0,4.3,26.1,0.0,0.0,0.0,0.0,7.7,1.7,0,0.7
2026-04-09_10:39:06,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3269.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,998.2,3400.0,3400.0,3400.0,3400.0,5.3,0.0,4.3,12.5,0.0,0.0,4.2,0.0,20.8,4.2,0.0,8.7,18.2,0.0,0.0,0.0,8.3,8.4,2.3,0,0.7
