Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_10:45:00,49.0,41.0,41.0,40.0,50.0,39.0,39.0,41.0,39.0,3330.3,3400.0,3400.0,3400.0,2284.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.7,0.0,0.0,0.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,9.8,0,0.7
2026-04-09_10:45:00,49.0,41.0,41.0,40.0,50.0,39.0,39.0,41.0,39.0,3445.0,3400.0,3400.0,3400.0,4120.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.3,0.0,0.0,0.0,10.0,4.3,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,8.3,4.3,0.0,13.0,7.9,0,0.7
2026-04-09_10:45:00,49.0,41.0,41.0,40.0,50.0,39.0,39.0,41.0,39.0,3266.1,3400.0,3400.0,3400.0,1257.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,4.3,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,4.3,0.0,0.0,0.0,7.4,1.4,0,0.6
2026-04-09_10:45:01,49.0,41.0,41.0,40.0,50.0,39.0,39.0,41.0,39.0,3267.6,3400.0,3400.0,3400.0,1282.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,7.1,1.2,0,0.6
2026-04-09_10:45:01,49.0,41.0,41.0,40.0,50.0,39.0,39.0,41.0,39.0,3276.1,3400.0,3400.0,3400.0,1417.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.5,0.0,8.3,0.0,27.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,1.3,0,0.7
2026-04-09_10:45:01,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3268.1,3400.0,3400.0,3400.0,1289.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,4.5,4.5,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,1.2,0,0.6
2026-04-09_10:45:01,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3205.1,3400.0,3400.0,3400.0,1210.1,3400.0,3400.0,3400.0,3400.0,3400.0,2471.7,3400.0,3400.0,1381.1,3400.0,3400.0,3400.0,2.3,0.0,0.0,0.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,7.4,1.4,0,0.7
2026-04-09_10:45:01,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3264.8,3400.0,3400.0,3400.0,1236.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.4,0.0,4.3,0.0,22.7,0.0,0.0,4.3,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,16.7,8.2,2.2,0,0.7
2026-04-09_10:45:02,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3263.7,3400.0,3400.0,3400.0,1218.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.9,8.7,0.0,4.5,21.7,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,13.0,13.6,8.0,2.0,0,0.7
2026-04-09_10:45:02,41.0,40.0,39.0,39.0,40.0,39.0,38.0,40.0,39.0,3249.1,3400.0,3400.0,3400.0,985.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.2,4.3,0.0,4.3,16.7,17.4,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,8.0,9.0,3.0,0,0.7
