Time,"Temp:PackageId0,0","Temp:Core0,0","Temp:Core1,0","Temp:Core2,0","Temp:Core3,0","Temp:Core4,0","Temp:Core5,0","Temp:Core6,0","Temp:Core7,0",Frequency:Avg,Frequency:Core 0,Frequency:Core 1,Frequency:Core 2,Frequency:Core 3,Frequency:Core 4,Frequency:Core 5,Frequency:Core 6,Frequency:Core 7,Frequency:Core 8,Frequency:Core 9,Frequency:Core 10,Frequency:Core 11,Frequency:Core 12,Frequency:Core 13,Frequency:Core 14,Frequency:Core 15,Util:Avg,Util:Core 0,Util:Core 1,Util:Core 2,Util:Core 3,Util:Core 4,Util:Core 5,Util:Core 6,Util:Core 7,Util:Core 8,Util:Core 9,Util:Core 10,Util:Core 11,Util:Core 12,Util:Core 13,Util:Core 14,Util:Core 15,"Power:package-0,0","Power:core,0","Power:uncore,0","Power:dram,0"
2026-04-09_11:58:03,50.0,43.0,43.0,41.0,42.0,42.0,40.0,44.0,51.0,3347.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2552.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.9,11.1,0,0.7
2026-04-09_11:58:03,50.0,43.0,43.0,41.0,42.0,42.0,40.0,44.0,51.0,3100.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1000.1,3400.0,1000.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,17.4,0.0,20.8,0.0,0.0,0.0,8.7,0.0,0.0,13.0,7.9,0,0.7
2026-04-09_11:58:03,50.0,43.0,43.0,41.0,42.0,42.0,40.0,44.0,51.0,3287.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1593.8,3400.0,3400.0,3400.0,3400.0,1648.8,3400.0,3400.0,3400.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,13.0,0.0,8.7,4.5,4.3,0.0,0.0,6.9,1.7,0,0.8
2026-04-09_11:58:03,50.0,43.0,43.0,41.0,42.0,42.0,40.0,44.0,51.0,3167.3,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1304.8,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.3,0.0,0.0,4.3,0.0,0.0,0.0,0.0,22.7,0.0,0.0,4.2,4.5,0.0,0.0,0.0,4.3,7.4,1.4,0,0.6
2026-04-09_11:58:04,50.0,43.0,43.0,41.0,42.0,42.0,40.0,44.0,51.0,3327.3,999.2,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3.2,20.8,4.2,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.3,8.3,12.5,0.0,0.0,0.0,8.5,2.5,0,0.7
2026-04-09_11:58:04,44.0,43.0,42.0,41.0,41.0,41.0,40.0,42.0,40.0,3249.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1339.4,3400.0,998.7,3400.0,3.7,4.2,4.3,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,8.7,13.6,4.2,16.0,0.0,9.0,3.0,0,0.7
2026-04-09_11:58:04,44.0,43.0,42.0,41.0,41.0,41.0,40.0,42.0,40.0,3276.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1030.5,3400.0,3400.0,3400.0,1416.2,3400.0,3.0,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,3.8,7.7,0.0,16.7,0.0,8.0,2.0,0,0.7
2026-04-09_11:58:04,44.0,43.0,42.0,41.0,41.0,41.0,40.0,42.0,40.0,3268.1,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1289.4,3400.0,2.5,0.0,4.3,4.3,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,22.7,0.0,6.5,1.4,0,0.6
2026-04-09_11:58:05,44.0,43.0,42.0,41.0,41.0,41.0,40.0,42.0,40.0,3265.9,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1253.8,3400.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,4.3,22.7,4.3,6.5,1.3,0,0.6
2026-04-09_11:58:05,44.0,43.0,42.0,41.0,41.0,41.0,40.0,42.0,40.0,3267.5,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,3400.0,1279.5,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,8.3,0.0,22.7,0.0,6.1,1.0,0,0.6
